Company,Symbol,Market,Event_type,Date,Quarter,EPS,Forecast,# Estimates,% Surprise,Footer Date
Digi International Inc.,DGII,NASDAQ -GS,Exceeded,07-27-2017,Jun 2017,0.08 ,0.05 ,1 ,60 ,07/27/2017 08:27
Atlassian Corporation Plc,TEAM,NASDAQ -GS,Exceeded,07-27-2017,Jun 2017,-0.03 ,-0.07 ,7 ,57.14 ,07/27/2017 08:27
"The Bancorp, Inc.",TBBK,NASDAQ -GS,Exceeded,07-27-2017,Jun 2017,0.11 ,0.07 ,2 ,57.14 ,07/27/2017 08:27
"SunCoke Energy, Inc.",SXC,NYSE,Exceeded,07-27-2017,Jun 2017,-0.07 ,-0.14 ,1 ,50 ,07/27/2017 08:27
"Sequential Brands Group, Inc.",SQBG,NASDAQ -CM,Exceeded,07-27-2017,Jun 2017,0.12 ,0.08 ,2 ,50 ,07/27/2017 08:27
8x8 Inc,EGHT,NASDAQ -GS,Exceeded,07-27-2017,Jun 2017,-0.01 ,-0.02 ,8 ,50 ,07/27/2017 08:27
Alkermes plc,ALKS,NASDAQ -GS,Exceeded,07-27-2017,Jun 2017,-0.13 ,-0.26 ,1 ,50 ,07/27/2017 08:27
"FS Bancorp, Inc.",FSBW,NASDAQ -CM,Exceeded,07-27-2017,Jun 2017,1.41 ,0.94 ,2 ,50 ,07/27/2017 08:27
Hilltop Holdings Inc.,HTH,NYSE,Exceeded,07-27-2017,Jun 2017,0.63 ,0.43 ,4 ,46.51 ,07/27/2017 08:27
"Sunesis Pharmaceuticals, Inc.",SNSS,NASDAQ -CM,Exceeded,07-27-2017,Jun 2017,-0.41 ,-0.76 ,1 ,46.05 ,07/27/2017 08:27
Cliffs Natural Resources Inc.,CLF,NYSE,Exceeded,07-27-2017,Jun 2017,0.26 ,0.18 ,5 ,44.44 ,07/27/2017 08:27
"Ellie Mae, Inc.",ELLI,NYSE,Exceeded,07-27-2017,Jun 2017,0.52 ,0.36 ,5 ,44.44 ,07/27/2017 08:27
Cypress Semiconductor Corporation,CY,NASDAQ -GS,Exceeded,07-27-2017,Jun 2017,0.13 ,0.09 ,5 ,44.44 ,07/27/2017 08:27
"Helmerich & Payne, Inc.",HP,NYSE,Exceeded,07-27-2017,Jun 2017,-0.18 ,-0.31 ,10 ,41.94 ,07/27/2017 08:27
"ExlService Holdings, Inc.",EXLS,NASDAQ -GS,Exceeded,07-27-2017,Jun 2017,0.65 ,0.46 ,6 ,41.3 ,07/27/2017 08:27
KKR & Co. L.P.,KKR,NYSE,Exceeded,07-27-2017,Jun 2017,0.89 ,0.63 ,5 ,41.27 ,07/27/2017 08:27
Intelsat S.A.,I,NYSE,Exceeded,07-27-2017,Jun 2017,-0.2 ,-0.33 ,4 ,39.39 ,07/27/2017 08:27
New York Times Company (The),NYT,NYSE,Exceeded,07-27-2017,Jun 2017,0.18 ,0.13 ,2 ,38.46 ,07/27/2017 08:27
"LeMaitre Vascular, Inc.",LMAT,NASDAQ -GM,Exceeded,07-27-2017,Jun 2017,0.23 ,0.17 ,4 ,35.29 ,07/27/2017 08:27
"Kratos Defense & Security Solutions, Inc.",KTOS,NASDAQ -GS,Exceeded,07-27-2017,Jun 2017,-0.02 ,-0.03 ,4 ,33.33 ,07/27/2017 08:27
"H&E Equipment Services, Inc.",HEES,NASDAQ -GS,Exceeded,07-27-2017,Jun 2017,0.28 ,0.21 ,1 ,33.33 ,07/27/2017 08:27
DMC Global Inc.,BOOM,NASDAQ -GS,Exceeded,07-27-2017,Jun 2017,0.04 ,0.03 ,1 ,33.33 ,07/27/2017 08:27
Evercore Partners Inc,EVR,NYSE,Exceeded,07-27-2017,Jun 2017,1.06 ,0.8 ,2 ,32.5 ,07/27/2017 08:27
"Green Bancorp, Inc.",GNBC,NASDAQ -GS,Exceeded,07-27-2017,Jun 2017,0.35 ,0.27 ,2 ,29.63 ,07/27/2017 08:27
Fiat Chrysler Automobiles N.V.,FCAU,NYSE,Exceeded,07-27-2017,Jun 2017,0.76 ,0.59 ,3 ,28.81 ,07/27/2017 08:27
"Cohu, Inc.",COHU,NASDAQ -GS,Exceeded,07-27-2017,Jun 2017,0.42 ,0.33 ,2 ,27.27 ,07/27/2017 08:27
Cameco Corporation,CCJ,NYSE,Exceeded,07-27-2017,Jun 2017,-0.08 ,-0.11 ,1 ,27.27 ,07/27/2017 08:27
Viad Corp,VVI,NYSE,Exceeded,07-27-2017,Jun 2017,1.22 ,0.96 ,3 ,27.08 ,07/27/2017 08:27
Huntsman Corporation,HUN,NYSE,Exceeded,07-27-2017,Jun 2017,0.85 ,0.67 ,4 ,26.87 ,07/27/2017 08:27
California Water  Service Group Holding,CWT,NYSE,Exceeded,07-27-2017,Jun 2017,0.39 ,0.31 ,4 ,25.81 ,07/27/2017 08:27
"Build-A-Bear Workshop, Inc.",BBW,NYSE,Exceeded,07-27-2017,Jun 2017,-0.15 ,-0.2 ,2 ,25 ,07/27/2017 08:27
"Patterson-UTI Energy, Inc.",PTEN,NASDAQ -GS,Exceeded,07-27-2017,Jun 2017,-0.21 ,-0.28 ,9 ,25 ,07/27/2017 08:27
"CVR Partners, LP",UAN,NYSE,Exceeded,07-27-2017,Jun 2017,-0.03 ,-0.04 ,1 ,25 ,07/27/2017 08:27
Xperi Corporation,XPER,NASDAQ -GS,Exceeded,07-27-2017,Jun 2017,0.36 ,0.29 ,1 ,24.14 ,07/27/2017 08:27
"Ultra Clean Holdings, Inc.",UCTT,NASDAQ -GS,Exceeded,07-27-2017,Jun 2017,0.62 ,0.5 ,4 ,24 ,07/27/2017 08:27
Deckers Outdoor Corporation,DECK,NYSE,Exceeded,07-27-2017,Jun 2017,-1.28 ,-1.67 ,8 ,23.35 ,07/27/2017 08:27
"CBRE Group, Inc.",CBG,NYSE,Exceeded,07-27-2017,Jun 2017,0.65 ,0.53 ,4 ,22.64 ,07/27/2017 08:27
"HFF, Inc.",HF,NYSE,Exceeded,07-27-2017,Jun 2017,0.49 ,0.4 ,1 ,22.5 ,07/27/2017 08:27
Lazard Ltd.,LAZ,NYSE,Exceeded,07-27-2017,Jun 2017,0.98 ,0.8 ,3 ,22.5 ,07/27/2017 08:27
Park Sterling Corporation,PSTB,NASDAQ -GS,Exceeded,07-27-2017,Jun 2017,0.17 ,0.14 ,3 ,21.43 ,07/27/2017 08:27
"Alexion Pharmaceuticals, Inc.",ALXN,NASDAQ -GS,Exceeded,07-27-2017,Jun 2017,1.31 ,1.08 ,7 ,21.3 ,07/27/2017 08:27
"Reinsurance Group of America, Incorporated",RGA,NYSE,Exceeded,07-27-2017,Jun 2017,2.95 ,2.44 ,3 ,20.9 ,07/27/2017 08:27
"HopFed Bancorp, Inc.",HFBC,NASDAQ -GM,Exceeded,07-27-2017,Jun 2017,0.18 ,0.15 ,1 ,20 ,07/27/2017 08:27
EQT Corporation,EQT,NYSE,Exceeded,07-27-2017,Jun 2017,0.06 ,0.05 ,10 ,20 ,07/27/2017 08:27
"EMCOR Group, Inc.",EME,NYSE,Exceeded,07-27-2017,Jun 2017,0.95 ,0.8 ,3 ,18.75 ,07/27/2017 08:27
"First Mid-Illinois Bancshares, Inc.",FMBH,NASDAQ -GM,Exceeded,07-27-2017,Jun 2017,0.66 ,0.56 ,2 ,17.86 ,07/27/2017 08:27
"Oaktree Capital Group, LLC",OAK,NYSE,Exceeded,07-27-2017,Jun 2017,1.73 ,1.47 ,7 ,17.69 ,07/27/2017 08:27
Royal Dutch Shell PLC,RDS.A,NYSE,Exceeded,07-27-2017,Jun 2017,0.88 ,0.75 ,3 ,17.33 ,07/27/2017 08:27
"Entegris, Inc.",ENTG,NASDAQ -GS,Exceeded,07-27-2017,Jun 2017,0.34 ,0.29 ,5 ,17.24 ,07/27/2017 08:27
"World Wrestling Entertainment, Inc.",WWE,NYSE,Exceeded,07-27-2017,Jun 2017,0.07 ,0.06 ,3 ,16.67 ,07/27/2017 08:27
"Align Technology, Inc.",ALGN,NASDAQ -GS,Exceeded,07-27-2017,Jun 2017,0.85 ,0.73 ,10 ,16.44 ,07/27/2017 08:27
"AtriCure, Inc.",ATRC,NASDAQ -GM,Exceeded,07-27-2017,Jun 2017,-0.21 ,-0.25 ,4 ,16 ,07/27/2017 08:27
Carpenter Technology Corporation,CRS,NYSE,Exceeded,07-27-2017,Jun 2017,0.58 ,0.5 ,5 ,16 ,07/27/2017 08:27
"Blucora, Inc.",BCOR,NASDAQ -GS,Exceeded,07-27-2017,Jun 2017,0.67 ,0.58 ,2 ,15.52 ,07/27/2017 08:27
Columbia Sportswear Company,COLM,NASDAQ -GS,Exceeded,07-27-2017,Jun 2017,-0.17 ,-0.2 ,11 ,15 ,07/27/2017 08:27
"CRA International,Inc.",CRAI,NASDAQ -GS,Exceeded,07-27-2017,Jun 2017,0.48 ,0.42 ,1 ,14.29 ,07/27/2017 08:27
"LogMein, Inc.",LOGM,NASDAQ -GS,Exceeded,07-27-2017,Jun 2017,0.8 ,0.7 ,4 ,14.29 ,07/27/2017 08:27
TFS Financial Corporation,TFSL,NASDAQ -GS,Exceeded,07-27-2017,Jun 2017,0.08 ,0.07 ,1 ,14.29 ,07/27/2017 08:27
"Southern National Bancorp of Virginia, Inc.",SONA,NASDAQ -GM,Exceeded,07-27-2017,Jun 2017,0.24 ,0.21 ,1 ,14.29 ,07/27/2017 08:27
"Senomyx, Inc.",SNMX,NASDAQ -GM,Exceeded,07-27-2017,Jun 2017,-0.06 ,-0.07 ,1 ,14.29 ,07/27/2017 08:27
Valero Energy Corporation,VLO,NYSE,Exceeded,07-27-2017,Jun 2017,1.23 ,1.08 ,9 ,13.89 ,07/27/2017 08:27
"AMERISAFE, Inc.",AMSF,NASDAQ -GS,Exceeded,07-27-2017,Jun 2017,0.82 ,0.72 ,2 ,13.89 ,07/27/2017 08:27
Raytheon Company,RTN,NYSE,Exceeded,07-27-2017,Jun 2017,1.98 ,1.74 ,9 ,13.79 ,07/27/2017 08:27
TriCo Bancshares,TCBK,NASDAQ -GS,Exceeded,07-27-2017,Jun 2017,0.58 ,0.51 ,3 ,13.73 ,07/27/2017 08:27
SVB Financial Group,SIVB,NASDAQ -GS,Exceeded,07-27-2017,Jun 2017,2.32 ,2.05 ,11 ,13.17 ,07/27/2017 08:27
"Tempur Sealy International, Inc.",TPX,NYSE,Exceeded,07-27-2017,Jun 2017,0.45 ,0.4 ,8 ,12.5 ,07/27/2017 08:27
Aflac Incorporated,AFL,NYSE,Exceeded,07-27-2017,Jun 2017,1.83 ,1.63 ,8 ,12.27 ,07/27/2017 08:27
Milacron Holdings Corp.,MCRN,NYSE,Exceeded,07-27-2017,Jun 2017,0.46 ,0.41 ,5 ,12.2 ,07/27/2017 08:27
LPL Financial Holdings Inc.,LPLA,NASDAQ -GS,Exceeded,07-27-2017,Jun 2017,0.74 ,0.66 ,5 ,12.12 ,07/27/2017 08:27
Pebblebrook Hotel Trust,PEB,NYSE,Exceeded,07-27-2017,Jun 2017,0.75 ,0.67 ,7 ,11.94 ,07/27/2017 08:27
"Superior Uniform Group, Inc.",SGC,NASDAQ -GM,Exceeded,07-27-2017,Jun 2017,0.29 ,0.26 ,1 ,11.54 ,07/27/2017 08:27
Meredith Corporation,MDP,NYSE,Exceeded,07-27-2017,Jun 2017,1.07 ,0.96 ,2 ,11.46 ,07/27/2017 08:27
Visteon Corporation,VC,NYSE,Exceeded,07-27-2017,Jun 2017,1.38 ,1.24 ,8 ,11.29 ,07/27/2017 08:27
"Carter's, Inc.",CRI,NYSE,Exceeded,07-27-2017,Jun 2017,0.79 ,0.71 ,6 ,11.27 ,07/27/2017 08:27
"Universal Logistics Holdings, Inc.",ULH,NASDAQ -GS,Exceeded,07-27-2017,Jun 2017,0.1 ,0.09 ,1 ,11.11 ,07/27/2017 08:27
TriMas Corporation,TRS,NASDAQ -GS,Exceeded,07-27-2017,Jun 2017,0.4 ,0.36 ,9 ,11.11 ,07/27/2017 08:27
Allegion plc,ALLE,NYSE,Exceeded,07-27-2017,Jun 2017,1.11 ,1 ,4 ,11 ,07/27/2017 08:27
MGM Resorts International,MGM,NYSE,Exceeded,07-27-2017,Jun 2017,0.31 ,0.28 ,6 ,10.71 ,07/27/2017 08:27
"First Cash, Inc.",FCFS,Amex,Exceeded,07-27-2017,Jun 2017,0.52 ,0.47 ,5 ,10.64 ,07/27/2017 08:27
AGCO Corporation,AGCO,NYSE,Exceeded,07-27-2017,Jun 2017,1.15 ,1.04 ,9 ,10.58 ,07/27/2017 08:27
"ConnectOne Bancorp, Inc.",CNOB,NASDAQ -GS,Exceeded,07-27-2017,Jun 2017,0.42 ,0.38 ,3 ,10.53 ,07/27/2017 08:27
"Patrick Industries, Inc.",PATK,NASDAQ -GS,Exceeded,07-27-2017,Jun 2017,1.28 ,1.16 ,3 ,10.34 ,07/27/2017 08:27
"Validus Holdings, Ltd.",VR,NYSE,Exceeded,07-27-2017,Jun 2017,1.09 ,0.99 ,3 ,10.1 ,07/27/2017 08:27
"A V Homes, Inc.",AVHI,NASDAQ -GS,Exceeded,07-27-2017,Jun 2017,0.11 ,0.1 ,1 ,10 ,07/27/2017 08:27
"Expedia, Inc.",EXPE,NASDAQ -GS,Exceeded,07-27-2017,Jun 2017,0.66 ,0.6 ,5 ,10 ,07/27/2017 08:27
S&P Global Inc.,SPGI,NYSE,Exceeded,07-27-2017,Jun 2017,1.72 ,1.57 ,5 ,9.55 ,07/27/2017 08:27
UNITIL Corporation,UTL,NYSE,Exceeded,07-27-2017,Jun 2017,0.23 ,0.21 ,1 ,9.52 ,07/27/2017 08:27
"CapStar Financial Holdings, Inc.",CSTR,NASDAQ -GS,Exceeded,07-27-2017,Jun 2017,0.23 ,0.21 ,1 ,9.52 ,07/27/2017 08:27
First Potomac Realty Trust,FPO,NYSE,Exceeded,07-27-2017,Jun 2017,0.23 ,0.21 ,5 ,9.52 ,07/27/2017 08:27
"Hartford Financial Services Group, Inc. (The)",HIG,NYSE,Exceeded,07-27-2017,Jun 2017,1.04 ,0.95 ,7 ,9.47 ,07/27/2017 08:27
Ally Financial Inc.,ALLY,NYSE,Exceeded,07-27-2017,Jun 2017,0.58 ,0.53 ,8 ,9.43 ,07/27/2017 08:27
GP Strategies Corporation,GPX,NYSE,Exceeded,07-27-2017,Jun 2017,0.35 ,0.32 ,3 ,9.38 ,07/27/2017 08:27
"Seattle Genetics, Inc.",SGEN,NASDAQ -GS,Exceeded,07-27-2017,Jun 2017,-0.39 ,-0.43 ,9 ,9.3 ,07/27/2017 08:27
"SkyWest, Inc.",SKYW,NASDAQ -GS,Exceeded,07-27-2017,Jun 2017,0.95 ,0.87 ,4 ,9.2 ,07/27/2017 08:27
"Old Dominion Freight Line, Inc.",ODFL,NASDAQ -GS,Exceeded,07-27-2017,Jun 2017,1.19 ,1.09 ,9 ,9.17 ,07/27/2017 08:27
"Forum Energy Technologies, Inc.",FET,NYSE,Exceeded,07-27-2017,Jun 2017,-0.1 ,-0.11 ,6 ,9.09 ,07/27/2017 08:27
"EQT GP Holdings, LP",EQGP,NYSE,Exceeded,07-27-2017,Jun 2017,0.24 ,0.22 ,4 ,9.09 ,07/27/2017 08:27
Procter & Gamble Company (The),PG,NYSE,Exceeded,07-27-2017,Jun 2017,0.85 ,0.78 ,10 ,8.97 ,07/27/2017 08:27
"InterDigital, Inc.",IDCC,NASDAQ -GS,Exceeded,07-27-2017,Jun 2017,1.46 ,1.34 ,2 ,8.96 ,07/27/2017 08:27
"L3 Technologies, Inc.",LLL,NYSE,Exceeded,07-27-2017,Jun 2017,2.21 ,2.03 ,8 ,8.87 ,07/27/2017 08:27
Pacific Gas & Electric Co.,PCG,NYSE,Exceeded,07-27-2017,Jun 2017,0.86 ,0.79 ,5 ,8.86 ,07/27/2017 08:27
"VeriSign, Inc.",VRSN,NASDAQ -GS,Exceeded,07-27-2017,Jun 2017,0.99 ,0.91 ,1 ,8.79 ,07/27/2017 08:27
American Tower Corporation (REIT),AMT,NYSE,Exceeded,07-27-2017,Jun 2017,1.68 ,1.55 ,7 ,8.39 ,07/27/2017 08:27
Comcast Corporation,CMCSA,NASDAQ -GS,Exceeded,07-27-2017,Jun 2017,0.52 ,0.48 ,16 ,8.33 ,07/27/2017 08:27
State Bank Financial Corporation.,STBZ,NASDAQ -CM,Exceeded,07-27-2017,Jun 2017,0.39 ,0.36 ,3 ,8.33 ,07/27/2017 08:27
"Tandem Diabetes Care, Inc.",TNDM,NASDAQ -GM,Exceeded,07-27-2017,Jun 2017,-0.44 ,-0.48 ,9 ,8.33 ,07/27/2017 08:27
"United Parcel Service, Inc.",UPS,NYSE,Exceeded,07-27-2017,Jun 2017,1.58 ,1.46 ,11 ,8.22 ,07/27/2017 08:27
Oritani Financial Corp.,ORIT,NASDAQ -GS,Exceeded,07-27-2017,Jun 2017,0.27 ,0.25 ,2 ,8 ,07/27/2017 08:27
"Tivity Health, Inc.",TVTY,NASDAQ -GS,Exceeded,07-27-2017,Jun 2017,0.41 ,0.38 ,6 ,7.89 ,07/27/2017 08:27
BorgWarner Inc.,BWA,NYSE,Exceeded,07-27-2017,Jun 2017,0.96 ,0.89 ,11 ,7.87 ,07/27/2017 08:27
First American Corporation (The),FAF,NYSE,Exceeded,07-27-2017,Jun 2017,0.98 ,0.91 ,2 ,7.69 ,07/27/2017 08:27
"Gibraltar Industries, Inc.",ROCK,NASDAQ -GS,Exceeded,07-27-2017,Jun 2017,0.43 ,0.4 ,2 ,7.5 ,07/27/2017 08:27
Microsemi Corporation,MSCC,NASDAQ -GS,Exceeded,07-27-2017,Jun 2017,0.87 ,0.81 ,4 ,7.41 ,07/27/2017 08:27
Principal Financial Group Inc,PFG,NYSE,Exceeded,07-27-2017,Jun 2017,1.31 ,1.22 ,4 ,7.38 ,07/27/2017 08:27
"ABIOMED, Inc.",ABMD,NASDAQ -GS,Exceeded,07-27-2017,Jun 2017,0.45 ,0.42 ,6 ,7.14 ,07/27/2017 08:27
Dow Chemical Company (The),DOW,NYSE,Exceeded,07-27-2017,Jun 2017,1.08 ,1.01 ,7 ,6.93 ,07/27/2017 08:27
Cousins Properties Incorporated,CUZ,NYSE,Exceeded,07-27-2017,Jun 2017,0.16 ,0.15 ,6 ,6.67 ,07/27/2017 08:27
"Power Integrations, Inc.",POWI,NASDAQ -GS,Exceeded,07-27-2017,Jun 2017,0.51 ,0.48 ,1 ,6.25 ,07/27/2017 08:27
Sussex Bancorp,SBBX,NASDAQ -GM,Exceeded,07-27-2017,Jun 2017,0.34 ,0.32 ,1 ,6.25 ,07/27/2017 08:27
"MuleSoft, Inc.",MULE,NYSE,Exceeded,07-27-2017,Jun 2017,-0.15 ,-0.16 ,3 ,6.25 ,07/27/2017 08:27
"Federated Investors, Inc.",FII,NYSE,Exceeded,07-27-2017,Jun 2017,0.53 ,0.5 ,3 ,6 ,07/27/2017 08:27
"PC Connection, Inc.",CNXN,NASDAQ -GS,Exceeded,07-27-2017,Jun 2017,0.53 ,0.5 ,2 ,6 ,07/27/2017 08:27
Eversource Energy,ES,NYSE,Exceeded,07-27-2017,Jun 2017,0.72 ,0.68 ,6 ,5.88 ,07/27/2017 08:27
Intel Corporation,INTC,NASDAQ -GS,Exceeded,07-27-2017,Jun 2017,0.72 ,0.68 ,15 ,5.88 ,07/27/2017 08:27
VALE S.A.,VALE,NYSE,Exceeded,07-27-2017,Jun 2017,0.18 ,0.17 ,3 ,5.88 ,07/27/2017 08:27
"Penske Automotive Group, Inc.",PAG,NYSE,Exceeded,07-27-2017,Jun 2017,1.27 ,1.2 ,7 ,5.83 ,07/27/2017 08:27
Mastercard Incorporated,MA,NYSE,Exceeded,07-27-2017,Jun 2017,1.1 ,1.04 ,15 ,5.77 ,07/27/2017 08:27
Marlin Business Services Corp.,MRLN,NASDAQ -GS,Exceeded,07-27-2017,Jun 2017,0.38 ,0.36 ,1 ,5.56 ,07/27/2017 08:27
Iridium Communications Inc,IRDM,NASDAQ -GS,Exceeded,07-27-2017,Jun 2017,0.2 ,0.19 ,4 ,5.26 ,07/27/2017 08:27
W.R. Grace & Co.,GRA,NYSE,Exceeded,07-27-2017,Jun 2017,0.84 ,0.8 ,4 ,5 ,07/27/2017 08:27
Materion Corporation,MTRN,NYSE,Exceeded,07-27-2017,Jun 2017,0.42 ,0.4 ,3 ,5 ,07/27/2017 08:27
Invesco Plc,IVZ,NYSE,Exceeded,07-27-2017,Jun 2017,0.64 ,0.61 ,7 ,4.92 ,07/27/2017 08:27
Western Digital Corporation,WDC,NASDAQ -GS,Exceeded,07-27-2017,Jun 2017,2.63 ,2.51 ,4 ,4.78 ,07/27/2017 08:27
Eastman Chemical Company,EMN,NYSE,Exceeded,07-27-2017,Jun 2017,1.98 ,1.89 ,8 ,4.76 ,07/27/2017 08:27
"Proto Labs, Inc.",PRLB,NYSE,Exceeded,07-27-2017,Jun 2017,0.45 ,0.43 ,1 ,4.65 ,07/27/2017 08:27
Xcel Energy Inc.,XEL,NYSE,Exceeded,07-27-2017,Jun 2017,0.45 ,0.43 ,7 ,4.65 ,07/27/2017 08:27
"NuVasive, Inc.",NUVA,NASDAQ -GS,Exceeded,07-27-2017,Jun 2017,0.46 ,0.44 ,10 ,4.55 ,07/27/2017 08:27
"Bojangles', Inc.",BOJA,NASDAQ -GS,Exceeded,07-27-2017,Jun 2017,0.23 ,0.22 ,7 ,4.55 ,07/27/2017 08:27
Celgene Corporation,CELG,NASDAQ -GS,Exceeded,07-27-2017,Jun 2017,1.68 ,1.61 ,7 ,4.35 ,07/27/2017 08:27
Washington Real Estate Investment Trust,WRE,NYSE,Exceeded,07-27-2017,Jun 2017,0.48 ,0.46 ,7 ,4.35 ,07/27/2017 08:27
AllianceBernstein Holding L.P.,AB,NYSE,Exceeded,07-27-2017,Jun 2017,0.49 ,0.47 ,2 ,4.26 ,07/27/2017 08:27
BG Staffing Inc,BGSF,AMEX,Exceeded,07-27-2017,Jun 2017,0.25 ,0.24 ,2 ,4.17 ,07/27/2017 08:27
"AptarGroup, Inc.",ATR,NYSE,Exceeded,07-27-2017,Jun 2017,1.01 ,0.97 ,6 ,4.12 ,07/27/2017 08:27
"LendingTree, Inc.",TREE,NASDAQ -GS,Exceeded,07-27-2017,Jun 2017,0.76 ,0.73 ,2 ,4.11 ,07/27/2017 08:27
"WESCO International, Inc.",WCC,NYSE,Exceeded,07-27-2017,Jun 2017,1.02 ,0.98 ,8 ,4.08 ,07/27/2017 08:27
Unum Group,UNM,NYSE,Exceeded,07-27-2017,Jun 2017,1.05 ,1.01 ,7 ,3.96 ,07/27/2017 08:27
First Merchants Corporation,FRME,NASDAQ -GS,Exceeded,07-27-2017,Jun 2017,0.57 ,0.55 ,3 ,3.64 ,07/27/2017 08:27
Qiagen N.V.,QGEN,NASDAQ -GS,Exceeded,07-27-2017,Jun 2017,0.3 ,0.29 ,8 ,3.45 ,07/27/2017 08:27
"Republic Services, Inc.",RSG,NYSE,Exceeded,07-27-2017,Jun 2017,0.61 ,0.59 ,5 ,3.39 ,07/27/2017 08:27
"Digital Realty Trust, Inc.",DLR,NYSE,Exceeded,07-27-2017,Jun 2017,1.54 ,1.49 ,10 ,3.36 ,07/27/2017 08:27
Southwest Airlines Company,LUV,NYSE,Exceeded,07-27-2017,Jun 2017,1.24 ,1.2 ,9 ,3.33 ,07/27/2017 08:27
"Dunkin' Brands Group, Inc.",DNKN,NASDAQ -GS,Exceeded,07-27-2017,Jun 2017,0.64 ,0.62 ,10 ,3.23 ,07/27/2017 08:27
Boston Scientific Corporation,BSX,NYSE,Exceeded,07-27-2017,Jun 2017,0.32 ,0.31 ,13 ,3.23 ,07/27/2017 08:27
KLA-Tencor Corporation,KLAC,NASDAQ -GS,Exceeded,07-27-2017,Jun 2017,1.64 ,1.59 ,6 ,3.14 ,07/27/2017 08:27
"Carbo Ceramics, Inc.",CRR,NYSE,Exceeded,07-27-2017,Jun 2017,-0.93 ,-0.96 ,4 ,3.12 ,07/27/2017 08:27
"Mohawk Industries, Inc.",MHK,NYSE,Exceeded,07-27-2017,Jun 2017,3.72 ,3.61 ,7 ,3.05 ,07/27/2017 08:27
Fortive Corporation,FTV,NYSE,Exceeded,07-27-2017,Jun 2017,0.71 ,0.69 ,10 ,2.9 ,07/27/2017 08:27
"C.R. Bard, Inc.",BCR,NYSE,Exceeded,07-27-2017,Jun 2017,2.92 ,2.84 ,10 ,2.82 ,07/27/2017 08:27
Teck Resources Ltd,TECK,NYSE,Exceeded,07-27-2017,Jun 2017,0.73 ,0.71 ,7 ,2.82 ,07/27/2017 08:27
"Spirit Airlines, Inc.",SAVE,NASDAQ -GS,Exceeded,07-27-2017,Jun 2017,1.14 ,1.11 ,9 ,2.7 ,07/27/2017 08:27
CubeSmart,CUBE,NYSE,Exceeded,07-27-2017,Jun 2017,0.39 ,0.38 ,8 ,2.63 ,07/27/2017 08:27
"GNC Holdings, Inc.",GNC,NYSE,Exceeded,07-27-2017,Jun 2017,0.41 ,0.4 ,6 ,2.5 ,07/27/2017 08:27
Deluxe Corporation,DLX,NYSE,Exceeded,07-27-2017,Jun 2017,1.29 ,1.26 ,1 ,2.38 ,07/27/2017 08:27
"SS&C Technologies Holdings, Inc.",SSNC,NASDAQ -GS,Exceeded,07-27-2017,Jun 2017,0.43 ,0.42 ,4 ,2.38 ,07/27/2017 08:27
"Taubman Centers, Inc.",TCO,NYSE,Exceeded,07-27-2017,Jun 2017,0.86 ,0.84 ,13 ,2.38 ,07/27/2017 08:27
"Praxair, Inc.",PX,NYSE,Exceeded,07-27-2017,Jun 2017,1.46 ,1.43 ,9 ,2.1 ,07/27/2017 08:27
Corporate Office Properties Trust,OFC,NYSE,Exceeded,07-27-2017,Jun 2017,0.49 ,0.48 ,9 ,2.08 ,07/27/2017 08:27
"Pinnacle Foods, Inc.",PF,NYSE,Exceeded,07-27-2017,Jun 2017,0.53 ,0.52 ,9 ,1.92 ,07/27/2017 08:27
LKQ Corporation,LKQ,NASDAQ -GS,Exceeded,07-27-2017,Jun 2017,0.53 ,0.52 ,9 ,1.92 ,07/27/2017 08:27
CoreSite Realty Corporation,COR,NYSE,Exceeded,07-27-2017,Jun 2017,1.1 ,1.08 ,9 ,1.85 ,07/27/2017 08:27
"Gaming and Leisure Properties, Inc.",GLPI,NASDAQ -GS,Exceeded,07-27-2017,Jun 2017,0.78 ,0.77 ,2 ,1.82 ,07/27/2017 08:27
Camden Property Trust,CPT,NYSE,Exceeded,07-27-2017,Jun 2017,1.15 ,1.13 ,10 ,1.77 ,07/27/2017 08:27
"MidWestOne Financial Group, Inc.",MOFG,NASDAQ -GS,Exceeded,07-27-2017,Jun 2017,0.59 ,0.58 ,3 ,1.72 ,07/27/2017 08:27
"Simpson Manufacturing Company, Inc.",SSD,NYSE,Exceeded,07-27-2017,Jun 2017,0.59 ,0.58 ,2 ,1.72 ,07/27/2017 08:27
"Essex Property Trust, Inc.",ESS,NYSE,Exceeded,07-27-2017,Jun 2017,2.97 ,2.92 ,11 ,1.71 ,07/27/2017 08:27
Apartment Investment and Management Company,AIV,NYSE,Exceeded,07-27-2017,Jun 2017,0.61 ,0.6 ,8 ,1.67 ,07/27/2017 08:27
Weingarten Realty Investors,WRI,NYSE,Exceeded,07-27-2017,Jun 2017,0.61 ,0.6 ,8 ,1.67 ,07/27/2017 08:27
WSFS Financial Corporation,WSFS,NASDAQ -GS,Exceeded,07-27-2017,Jun 2017,0.63 ,0.62 ,2 ,1.61 ,07/27/2017 08:27
International Paper Company,IP,NYSE,Exceeded,07-27-2017,Jun 2017,0.65 ,0.64 ,7 ,1.56 ,07/27/2017 08:27
"Acadia Healthcare Company, Inc.",ACHC,NASDAQ -GS,Exceeded,07-27-2017,Jun 2017,0.66 ,0.65 ,10 ,1.54 ,07/27/2017 08:27
